边城	The Border Town
他这时正想把那夜的情形好好说出来，船已到了岸边。	He wanted now to give a complete explanation of the events of that night, but the boat had reached the other bank.
二老一跃上了岸，就想走去。	No. 2 wanted to be on his way as soon as he jumped to shore.
老船夫在船上显得更加忙乱的样子说：	The old ferryman shouted to him from the boat, all the more flustered:
「二老，二老，你等等，我有话同你说，你先前不是说到那个－－你做傻子的事情吗？你并不傻，别人才当真叫你那歌弄成傻相！」	"No. 2, No. 2, wait up, I have something to tell you. You know that part about you being a fool? You were no fool  it was your counterpart who went into a foolish rapture because of your songs!"
那年青人虽站定了，口中却轻轻的说：「得了够了，不要说了。」	The young man paused a moment, but he said, softly: "That's it. Enough of this. Don't talk about it anymore."
老船夫说：「二老，我听人说你不要碾子要渡船，这是杨马兵说的，不是真的吧？」	The old ferryman continued, "No. 2, I heard that you'd rather tend a ferryboat than a grain mill. Horseman Yang told me so. Was he right?"
那年青人说：「要渡船又怎样？」	The young man said, "And what if I did want the ferryboat?"
老船夫看看二老的神气，心中忽然高兴起来了，就情不自禁的高声叫着翠翠，要她下溪边来。	Suddenly cheered by the look on No. 2's face, the old ferryman couldn't resist loudly shouting for Cuicui to come down to the stream.
可是，不知翠翠是故意不从屋里出来，还是到别处去了，许久还不见到翠翠的影子，也不闻这个女孩子的声音。	But luck was not with him.  He waited a long while and still there was no sign of her, and no response.  She had either gone off or was purposely staying inside the house.
二老等了一会，看看老船夫那副神气，一句话不说，便微笑着，大踏步同一个挑担粉条白糖货物的脚夫走去了。	No. 2 waited for a while in silence, watching the expression on the old ferryman's face, before smiling and striding off with a porter who was bearing loads of bean starch noodles and refined sugar.
过了碧溪岨小山，两人应沿着一条曲曲折折的竹林走去，那个脚夫这时节开了口：	Once they passed the low mountain called Green Creek Hill, the two took a winding path that skirted a bamboo grove. The porter spoke what was on his mind:
「傩送二老，看那弄渡船的神气，很欢喜你！」	"Nuosong, I can tell from his look that this ferryman has really taken a liking to you!"
二老不作声，那人就又说道：	When No. 2 didn't answer, the man said:
「二老，他问你要碾坊还是要渡船，你当真预备做他的孙女婿，接替他那只渡船吗？」	"No. 2, he asked if you preferred the mill or the ferry. Are you really going to marry his granddaughter and take over his beat-up ferryboat?"
二老笑了，那人又说：	No. 2 laughed. The other man went on:
「二老，若这件事派给我，我要那座碾坊。一座碾坊的出息，每天可收七升米，三斗糠。」	"No. 2, if it were my choice, I'd take the grain mill. There's a future in that. It'll make you three pints of rice and ten times that in bran."
二老说：「我回来时向我爹爹去说，为你向中寨人做媒，让你得到那座碾坊吧。	No. 2 responded: "When I get back, I'll put in a word for you with my father. He can make you a match with those people in Middle Stockade, so you can have your mill.
至于我呢，我想弄渡船是很好的。	As for me, I'd be fine with that ferryboat.
只是老家伙为人弯弯曲曲，不利索，大老是他弄死的。」	But the old man is too cunning by far. He's the one who led No. 1 to his demise."
老船夫见二老那么走去了，翠翠还不出来，心中很不快乐。	The old ferryman was disconsolate to see No. 2 go on his way.  Still Cuicui had not come out.
走回家去看看，原来翠翠并不在家。	He went to the house for a look and Cuicui was not there.
过一会，翠翠提了个篮子从小山后回来了，方知道大清早翠翠已出门掘竹鞭笋去了。	A while later, Cuicui emerged from behind a hill, carrying a basket.  He realized that Cuicui had been out all morning, digging up bamboo shoots.
「翠翠，我喊了你好久，你不听到！」	"Cuicui, I called for you for the longest time! You must not have heard."
「喊我做什么？」	"What did you call me for?"
「一个过渡－－一个熟人，我们谈起你－－我喊你你可不答应！」	"There was a passenger on the ferry  someone we know. We got to talking about you. I called you, but you didn't answer!"
「是谁？」	"Who was it?"
「你猜，翠翠。不是陌生人－－你认识他！」	"Guess, Cuicui. He wasn't a stranger, you know him!"
翠翠想起适间从竹林里无意中听来的话，脸红了，半天不说话。	Cuicui thought of the conversation she had inadvertently heard while in the bamboo grove just before. She blushed and for a long time remained quiet.
老船夫问：「翠翠，你得了多少鞭笋？」	The old ferryman asked, "Cuicui, how many bamboo shoots did you gather?"
翠翠把竹篮向地下一倒，除了十来根小小鞭笋外，只是一大把虎耳草。	Cuicui turned her bamboo basket upside down. Besides a dozen or so little bamboo shoots, there was a big clump of saxifrage.
老船夫望了翠翠一眼，翠翠两颊绯红跑了。	The old ferryman shot her a glance. Her cheeks flushing scarlet, Cuicui hurried away.
第十八章	CHAPTER EIGHTEEN
日子平平的过了一个月，一切人心上的病痛，似乎皆在那份长长的白日下医治好了。	As another month passed quietly by, the heartaches of all concerned seemed cured by the long summer days.
天气特别热，各人只忙着流汗，用凉水淘江米酒吃，不用什么心事，心事在人生活中，也就留不住了。	The weather grew so hot that everyone was preoccupied with their sweating and they ate their fermented glutinous rice in cold water.  There was no place left in their lives for heartaches and worries.
翠翠每天皆到白塔下背太阳的一面去午睡，高处既极凉快，两山竹篁里叫得使人发松的竹雀和其它鸟类又如此之多，致使她在睡梦里尽为山鸟歌声所浮着，做的梦也便常是顶荒唐的梦。	Every afternoon, Cuicui took a nap on the shady side of the pagoda.  It was very cool on that elevated spot.  The soothing songs of bamboo finches and other birds came from the bamboo stands of the mountains on either side. The birds were such a numerous flock that in her dreams the mountain birdsong lifted her up into the air and brought her the most fantastic dreams.
这并不是人的罪过。	There was no sin in that.
诗人们会在一件小事上写出整本整部的诗，雕刻家在一块石头上雕得出骨血如生的人像，画家一撇儿绿，一撇儿红，一撇儿灰，画得出一幅一幅带有魔力的彩画，谁不是为了惦着一个微笑的影子，或是一个皱眉的记号，方弄出那么些古怪成绩？	Poets could spin out books of poetry from a small incident.  Sculptors could carve the living image of a person in a piece of stone, and painters could turn out one magical painting after another from streaks of green, red, and gray.  Who among them was not inspired by the memory of a smile, or a frown?
翠翠不能用文字，不能用石头，不能用颜色把那点心头上的爱憎移到别一件东西上去，却只让她的心，在一切顶荒唐事情上驰骋。	Cuicui could not use writing, or stone, or colors, to transfer her heart's passions of love and hate into a work of art, she could only let her heart race ahead with the most absurd thoughts.
她从这分隐秘里，常常得到又惊又喜的兴奋。	This secretiveness often brought her an excitement both shocking and elating.
一点儿不可知的未来，摇撼她的情感极厉害，她无从完全把那种痴处不让祖父知道。	A wholly unknowable future was shaking her emotions to their foundations, and she could not completely hide these passions from her grandpa.
祖父呢，可以说一切都知道了的。但事实上他又却是个一无所知的人。	As to Grandpa, one could say that he knew everything, but in fact he was wholly ignorant.
他明白翠翠不讨厌那个二老，却不明白那小伙子二老怎么样。	He understood that Cuicui was not displeased with the No. 2 son, but he could not comprehend the young man's own disposition.
他从船总处与二老处，皆碰过了钉子，但他并不灰心。	He had met with rebuffs from both the fleetmaster and No. 2, yet he failed to be discouraged.
「要安排得对一点，方合道理，一切有个命」他那么想着，就更显得好事多磨起来了。睁着眼睛时，他做的梦比那个外孙女翠翠便更荒唐更寥阔。	"If I can fix things up a little better, it will turn out all right, if only fate allows!" In that frame of mind, he mused that the course of love was never easy. The visions he dreamed with his eyes wide open were even more fantastic and unfettered than those of his granddaughter, Cuicui.
他向各个过渡本地人打听二老父子的生活，关切他们如同自己家中人一样。	He inquired about the lives of No. 2 and his father from every local person who took his ferry, as solicitous about the River Street people as if they were family.
但也古怪，因此他却怕见到那个船总同二老了。	Yet, strangely enough, this made him all the more fearful of actually running into them.
一见他们他就不知说些什么，只是老脾气把两只手搓来搓去，从容处完全失去了。	When he did, he couldn't think of a thing to say.  He rubbed his hands together nervously, as was his habit, having completely lost his composure.
二老父子方面皆明白他的意思，但那个死去的人，却用一个凄凉的印象，镶嵌到父子心中，两人便对于老船夫的意思，俨然全不明白似的，一同把日子打发下去。	No. 2 and his father knew what he was up to, but the departed son, to use a cold expression, was chiseled into their hearts.  They went about their business as the days passed by, acting as if they didn't know what the old ferryman was about.
明明白白夜来并不作梦，早晨同翠翠说话时，那作祖父的会说：	Early in the morning, when it was obvious that he had not dreamed a single dream the night before, Grandpa would say,
「翠翠，翠翠，我昨晚上做了个好不怕人的梦」	"Cuicui, Cuicui, last night I had a simply awful dream."
翠翠问：「什么怕人的梦？」	"What awful dream?" Cuicui asked.
就装作思索梦境似的，一面细看翠翠小脸长眉毛，一面说出他另一时张着眼睛所做的好梦。	Then, pretending to be remembering his dream, he would scrutinize Cuicui's slender face and long eyebrows while telling her of a wonderful daydream he'd imagined at another time.
不消说，那些梦原来都并不是当真怎样使人吓怕的。	Needless to say, none of these dreams were so fearsome after all.
一切河流皆得归海，话起始说得纵极远，到头来总仍然是归到使翠翠红脸那件事情上去。	All streams flow to the sea eventually.  Although the conversation took a quite different direction to start, in the end it always came back to those matters that made Cuicui blush.
待到翠翠显得不大高兴，神气上露出受了点小窘时，这老船夫又才像有了一点儿吓怕，忙着解释，用闲话来遮掩自己所说到那问题的原意。	Only when it became evident that Cuicui was displeased, her expression betraying embarrassment, did the old ferryman pretend that he was upset and hurry to explain himself, using small talk to cover up his intentions in bringing up these matters.
「翠翠，我不是那么说，我不是那么说。爷爷老了，胡涂了，笑话多咧。」	"Cuicui, that's not what I meant, not at all. Your grandfather is old and muddled, full of crazy talk."
但有时翠翠却静静的把祖父那些笑话胡涂话听下去，一直听到后来还抿着嘴儿微笑。	But sometimes Cuicui quietly listened to Grandpa's crazy talk and muddled thoughts, to the point where she found herself smiling to herself.
翠翠也会忽然说道：	She might suddenly blurt out:
「爷爷，你真是有一点儿胡涂」	"Grandfather, you really are mixed up!"
祖父听过了不再作声，他将说，「我有一大堆心事，」但来不及说，恰好就被过渡人喊走了。	Hearing that, Grandpa would stop speaking. He meant to go on to say, "There are a lot of things on my mind," but before he could speak, he was summoned by a ferry passenger.
天气热了，过渡人从远处走来，肩上挑得是七十斤担子，到了溪边，贪凉快不即走路，必蹲在岩石下茶缸边喝凉茶，与同伴交换「吹吹棒」烟管，且一面与弄渡船的攀谈。	It was hot, so when ferry passengers from far away arrived bearing eighty-pound loads on their shoulder poles, they would rest and cool off by the creek.
许多子虚乌有的话皆从此说出口来，给老船夫听到了。	Squatting under the cliffs by the keg to enjoy a cool drink of tea, they passed their long "puffer" tobacco pipe between them while drawing the ferryman into their conversation. Thus did all sorts of baseless rumors, from the heavens above to the earth below, reach the old ferryman's ears.
过渡人有时还因溪水清洁，就溪边洗脚抹澡的，坐得更久话也就更多。	Sometimes the passengers would take advantage of the clean stream waters to wash their feet or bathe. The longer they stayed, the more gossip passed between them.
祖父把些话转说给翠翠，翠翠也就学懂了许多事情。货物的价钱涨落呀，坐轿搭船的用费呀，放木筏的人把他那个木筏从滩上流下时，十来把大桡子如何活动呀，在小烟船上吃荤烟，大脚娘如何烧烟呀－－无一不备。	Grandpa passed some of the talk on to Cuicui, and she learned a good deal in the process: the rise and fall of commodity prices, the going rate for riding a sedan chair or a boat, how to steer a timber raft down the rapids using its rudders, what it was like to look for a prostitute on an opium sampan, how ladies of the night with unbound feet boiled the opium  just about everything.
傩送二老从川东押物回到了茶峒。	Nuosong, No. 2, returned to Chadong with his goods from East Sichuan.
时间已近黄昏了，溪面很寂静，祖父同翠翠在菜园地里看萝卜秧子。	It was almost dusk and very still out on the stream.  Grandpa and Cuicui were in the vegetable garden, inspecting the turnip sprouts.
翠翠白日中觉睡久了些，觉得有点寂寞，好像听人嘶声喊过渡，就争先走下溪边去。	Cuicui had napped a little too long that day and was feeling a little forlorn, so when she thought she heard a hoarse voice summon the ferry, she was the first to go down to the landing.
下坎时，见两个人站在码头边，斜阳影里背身看得极分明，正是傩送二老同他家中的长年！	As she went down the bank, she saw two men standing by the pier.  She could recognize them clearly in the light of the setting sun, though their backs were to her: it was Nuosong, No. 2, and the family servant!
翠翠大吃一惊，同小兽物见到猎人一样，回头便向山竹林里跑掉了。	Startled, like a little wild animal encountering a hunter, Cuicui ran back into the bamboo grove on the hill.
但那两个在溪边的人，听到脚步响时，一转身，也就看明白这件事情了。	But the two men at the stream turned around at the sound of her footfall and saw everything.
等了一下再也不见人来，那长年又嘶声音喊叫过渡。	They waited a while and still no one came, so the servant shouted again for the ferry in his raspy voice.
老船夫听得清清楚楚，却仍然蹲在萝卜秧地上数菜，心里觉得好笑。	The old ferryman heard him very clearly, but continued squatting in the garden, counting his turnip sprouts. He found it amusing.
他已见到翠翠走去，他知道必是翠翠看明白了过渡人是谁，故蹲在那高岩上不理会。	He'd seen Cuicui take flight and knew it must be because she recognized someone at the landing.  He purposely kept on squatting under the high cliffs, ignoring the men.
翠翠人小不管事，过渡人求她不干，奈何她不得，故只好嘶着个喉咙叫过渡了。	Cuicui was young and not in charge; when she didn't respond to the men who wanted to cross, they had no recourse but to keep straining their voices to summon the ferry.
那长年叫了几声，见无人来，就停了，同二老说：「这是什么玩意儿，难道老的害病弄翻了，只剩下翠翠一个人了吗？」二老说：「等等看，不算什么」就等了一阵。因为这边在静静的等着，园地上老船夫却在心里想：「难道是二老吗？」他彷佛担心搅恼了翠翠似的，就仍然蹲着不动。	After several more shouts, the hired man rested his tired voice and asked No. 2, "What's this all about? You don't suppose the old man is down sick and has left the ferry to Cuicui all by herself?" No. 2 answered, "Let's wait, we're in no hurry!" So they waited awhile. Because the passengers had fallen quiet, the old ferryman in the garden thought to himself: "Could it be No. 2?" As if afraid of annoying Cuicui further, he kept on squatting there and didn't make a move.
但再过一阵，溪边又喊起过渡来了，声音不同了一点，这才真是二老的声音。	But not long after, the shouting for the ferry resumed, and this time it sounded a little different.  It was No. 2's voice.
生气了吧？	Was he angry?
等久了吧？	Tired of waiting?
吵嘴了吧？	Had there been an argument?
老船夫一面胡乱估着一面跑到溪边去。	Frantically trying to size up the situation, the old ferryman raced down to the stream bank.
到了溪边，见两个人业已上了船，其中之一正是二老。	When he got there, he saw the two men already aboard the boat, and one of them was No. 2.
老船夫惊讶的喊叫：	The old ferryman shouted out, anxiously,
「呀，二老，你回来了」	"Hey there, No. 2, you're back!"
年青人很不高兴似的，「回来了。－－你们这渡船是怎么的，等了半天也不来个人」	Showing his displeasure, the young man answered, "Yes, I'm back. What's wrong with you folks at the ferry? We waited forever and no one came for us!"
「我以为－－」老船夫四处一望，并不见翠翠的影子，只见黄狗从山上竹林里跑来，知道翠翠上山了，便改口说，「我以为你们过了渡。」	"I thought it was  " he looked all around and there was no trace of Cuicui, but just then the yellow dog ran out of the bamboo grove on the mountain, so he knew she had gone up there. He changed his drift and said: "I thought you had already crossed over."
「过了渡！不得你上船，谁敢开船？」那长年说着，一只水鸟掠着水面飞去，「翠鸟儿归窠了，我们还得赶回家去吃夜饭」	"Already crossed over? Who would dare launch the boat without you?" said the servant. As he spoke, a waterfowl skimmed over the water. "That jade-green bird is headed toward its nest. We have to hurry back home in time for supper!"
「早咧，到河街早咧，」说着，老船夫已跳上了船，且在心中一面说着，「你不是想承继这只渡船吗」一面把船索拉动，船便离岸了。	"You're in time, you've got plenty of time to get to River Street." The old ferryman had already jumped into the boat. "Don't you want to inherit this ferryboat for your own?" he thought, as he pulled on the cable and the boat left the shore.
「二老，路上累得很！－－」	"No. 2, it must have been a tiring trip!"
老船夫说着，二老不置可否不动感情听下去。	As the old ferryman spoke, No. 2 listened without letting on how he was feeling.
船拢了岸，那年青小伙子同家中长年挑担子翻山走了。	When they reached the shore, the young man and his servant shouldered their loads and crossed over the hill without saying a word.
那点淡漠印象留在老船夫心上，老船夫于是在两个人身后，捏紧拳头威吓了三下，轻轻的吼着，把船拉回去了。	The old ferryman took note of their coolness.  He shook his fist at them behind their backs, shook it three times.  He cursed them under his breath and pulled the boat back to his side.
第十九章	CHAPTER NINETEEN
翠翠向竹林里跑去，老船夫半天还不下船，这件事从傩送二老看来，前途显然有点不利。	Cuicui's flight into the bamboo grove and the old ferryman's long delay in coming down to the landing suggested to Nuosong that his prospects here were not good.
虽老船夫言词之间，无一句话不在说明「这事有边」，但那畏畏缩缩的说明，极不得体，二老想起他的哥哥，便把这件事曲解了。	Although the old ferryman was constantly intimating that Nuosong "had a chance for success in this," the old man's hesitant explanations were very inept; they made No. 2 think of his elder brother, and he misinterpreted them.
他有一点愤愤不平，有一点儿气恼。	He felt a little aggrieved and a little angry.
回到家里第三天，中寨有人来探口风，在河街顺顺家中住下，把话问及顺顺，想明白二老是不是还有意接受那座新碾坊，顺顺就转问二老自己意见怎么样。	On his third day back home, someone arrived from Middle Stockade to sound him out.  During an overnight stay in Shunshun's house on River Street, the man asked Shunshun where No. 2 stood  did he still want the new mill or not?  Shunshun referred the question to No. 2 himself.
二老说：「爸爸，你以为这事为你，家中多座碾坊多个人，你可以快活，你就答应了。	No. 2 answered, "Papa, if this is for you  if adding a mill and a woman to the household would make you happy, then you give the go-ahead.
若果为的是我，我要好好去想一下，过些日子再说它吧。	If this is for me, then I need to think it over and wait a few days before answering.
我还不知道我应当得座碾坊，还是应当得一只渡船：我命里或只许我撑个渡船！」	I still don't know if I ought to take the mill or the ferryboat; perhaps my fate will only allow me to operate the boat!"
探口风的人把话记住，回中寨去报命，到碧溪岨过渡时，到了老船夫，想起二老说的话，不由得不咪咪的笑着。	The man who'd come to sound them out marked these words and set out for Middle Stockade to report on his mission.  When he came to the ferry at Green Creek Hill and saw the old ferryman, he recalled No. 2's words and couldn't help smiling to himself.
老船夫问明白了他是中寨人，就又问他过茶峒作什么事。	On learning that the man was from Middle Stockade, the ferryman asked him what business he had in town.
那心中有分寸的中寨人说：	The Middle Stockade man knew enough to be circumspect in his words:
「什么事也不作，只是过河街船总顺顺家里坐了一会儿。」	"Nothing much, I just went to Fleetmaster Shunshun's house on River Street and sat a spell."
「无事不登三宝殿，坐了一定就有话说！」	"They say one doesn't go to the Temple of the Three Buddhist Treasures without a good reason. If you sat down there you must have had something to say!"
「话倒说了几句。」	"We did exchange some pleasantries."
「说了些什么话？」那人不再说了，老船夫却问道，「听说你们中寨人想把大河边一座碾坊连同家中闺女送给河街上顺顺，这事情有不有了点眉目？」	"What did you talk about?" The other man said nothing further, so the old ferryman went on: "I hear that someone from Middle Stockade wants to give away a mill by the riverside, together with his daughter, to Shunshun down on River Street. Has there been any progress in that matter?"
那中寨人笑了，「事情成了。我问过顺顺，顺顺很愿意同中寨人结亲家，又问过那小伙子－－」	The man from Middle Stockade grinned. "It's a done deal. I asked Shunshun. He's quite willing to join families with the man from Middle Stockade.  Then he asked the young man  "
「小伙子意思怎么样？」	"And how did he feel about it?"
「他说：我眼前有座碾坊，有条渡船，我本想要渡船，现在就决定要碾坊吧。	"He said: 'A mill and a ferryboat lie before me. Originally I wanted the ferry, but now I've decided on the mill.
渡船是活动的，不如碾坊固定。	A boat is always on the move, whereas a mill stays in place.'
这小子会打算盘呢。」	That fellow has a head on him."
中寨人是个米场经纪人，话说得极有斤两，他明知道「渡船」指的是什么，但他可并不说穿。	This man from Middle Stockade was a rice broker, good at weighing his words. He well knew what the "ferryboat" referred to, but he didn't let on.
他看到老船夫口唇蠕动，想要说话，中寨人便又抢着说道：	When he saw the old ferryman start to speak, the Middle Stockade man broke in first:
「一切皆是命，半点不由人。可怜顺顺家那个大老，相貌一表堂堂，会淹死在水里！」	"Everything depends on fate. Human actions hardly have a hand in it. It's too bad that Shunshun's No. 1  such a handsome lad  had to drown in the river!"
老船夫被这句话在心上戳了一下，把想问的话咽住了。	This stabbed the old ferryman right in the heart.  He swallowed the words he was about to speak.
中寨人上岸走去后，老船夫闷闷的立在船头，痴了许久。	After the man from Middle Stockade had come ashore and gone on his way, the old ferryman stood dejectedly in the prow of his boat, dazed.
又把二老日前过渡时落寞神气温习一番，心中大不快乐。	Ruminating about how distant No. 2 had been the time before, he felt very upset.
翠翠在塔下玩得极高兴，走到溪边高岩上想要祖父唱唱歌，见祖父不理会她，一路埋怨赶下溪边去，到了溪边方见到祖父神气十分沮丧，不明白为什么原因。	Cuicui was quite happily occupied under the pagoda.  She went up to the high bluffs, wanting Grandpa to sing to her from below, but he paid her no attention.  She went down to the stream, sulking, until she saw that Grandpa for some unknown reason looked very dispirited.
翠翠来了，祖父看看翠翠的快活黑脸儿，粗卤的笑笑。	When Cuicui approached and Grandpa saw her dusky, happy face, he put on a semblance of a smile.
对溪有扛货物过渡的，便不说什么，沉默的把船拉过溪，到了中心却大声唱起歌来了。	But there was someone transporting goods awaiting the ferry on the other side, so Grandpa said nothing.  He pulled the boat south across the stream in silence, until midway he broke out loudly into song.
把人渡了过溪，祖父跳上码头走近翠翠身边来，还是那么粗卤的笑着，把手抚着头额。	After ferrying the passenger, Grandpa jumped up on the dock and went up to Cuicui with a wry smile on his face again.  He wiped his forehead with his hand.
翠翠说：	Cuicui said,
「爷爷怎么的，你发痧了？你躺到荫下去歇歇，我来管船！」	"What's the matter, Grandfather, are you suffering from heatstroke? Lie down and rest in the shade! I'll take care of the boat."
「你来管船，好，这只船归你管！」	"Yes, you take care of it. Fine. Excellent, this boat is yours to take care of!"
老船夫似乎当真发了痧，心头发闷，虽当着翠翠还显出硬扎样子，独自走回屋里后，找寻得到一些碎瓷片，在自己臂上腿上扎了几下，放出了些乌血，就躺到床上睡了。	He felt like he really did have heatstroke. He was sick at heart. Though he put up a strong front before Cuicui, when he was alone in the house he found a piece of broken porcelain, cut himself in a few places on his arms and legs to let out some blood, then lay down to sleep.
翠翠自己守船，心中却古怪的快乐，心想：「爷爷不为我唱歌，我自己会唱！」	Taking up her post on the boat, Cuicui felt strangely euphoric. She thought: "If Grandfather won't sing for me, I'll sing myself."
她唱了许多歌，老船夫躺在床上闭着眼睛，一句一句听下去，心中极乱。	She sang a good many songs.  Lying in bed with his eyes shut and listening closely, the old ferryman grew anxious.
但他知道这不是能够把他打倒的大病，他明天就仍然会爬起来的。	But he knew that this illness would not be the end of him; he would still be able to get up tomorrow.
他想明天进城，到河街去看看，又想起许多旁的事情。	He decided to go to town the next day and look around on River Street.  He also mulled over many other matters.
但到了第二天，人虽起了床，头还沉沉的。	When the morning came, however, though he left the bed, his head still hung heavy.
祖父当真已病了。	Grandpa was truly ill.
翠翠显得懂事了些，为祖父煎了一罐大发药，逼着祖父喝，又在屋后菜园地里摘取蒜苗泡在米汤里作酸蒜苗。	Cuicui, knowing just what to do, boiled up a pot of fever-breaking herbal medicine and made Grandpa drink it.  She also went out back to the garden to pick sour garlic sprouts for steeping in rice broth, as a cure.
一面照料船只，一面还时时刻刻抽空赶回家里来看祖父，问这样那样。	She frequently took time out from minding the boat to return home and look in on Grandpa and ply him with questions.
祖父可不说什么，只是为一个秘密痛苦着。	But he had nothing to say; a secret pained him.
躺了三天，人居然好了。	Yet, after three days in bed, he was well.
屋前屋后走动了一下，骨头还硬硬的，心中惦念到一件事情，便预备进城过河街去。	He seemed strong as ever as he paced in front and back of the house, but something was worrying him, so he prepared to journey to River Street.
翠翠看不出祖父有什么要紧事情必须当天进城，请求他莫去。	Cuicui couldn't understand what could be so important as to make Grandpa go to town so soon.  She begged him not to go.
老船夫把手搓着，估量到是不是应说出那个理由。	The old ferryman rubbed his hands together, wondering whether he ought to tell her what his business was.
翠翠一张黑黑的瓜子脸，一双水汪汪的眼睛，使他吁了一口气。	Standing before Cuicui, with her bright eyes and dark, oval face, he had to sigh.
他说：「我有要紧事情，得今天去！」	"I have something important to do," he said, "and I have to go today!"
翠翠苦笑着说：「有多大要紧事情，还不是－－」	Cuicui smiled disdainfully: "What's so urgent? Surely it's not  "
老船夫知道翠翠脾气，听翠翠口气已有点不高兴，不再说要走了，把预备带走的竹筒，同扣花褡裢搁到条几上后，带点儿谄媚笑着说：「不去吧，你担心我会摔死，我就不去吧。	The old ferryman knew his granddaughter's temper; he could hear the unhappiness in her voice, so he stopped insisting on going. Laying on the table the bamboo tube and embroidered cloth shoulder bag he'd prepared for the trip, he said, with a fawning smile, "All right, I won't go. Since you're afraid I might fall down dead, I won't go.
我以为早上天气不很热，到城里把事办完了就回来－－不去也得，我明天去！」	I thought I'd go to town in the morning, before it got too hot, and finish my business  but I don't have to go. I can go tomorrow!"
翠翠轻声的温柔的说：「你明天去也好，你腿还软，好好的躺一天再起来。」	Cuicui replied, softly and gently, "Yes, tomorrow will be fine. Your legs are still weak! A day's rest will do you good."
老船夫似乎心中还不甘服，洒着两手走出去，门限边一个打草鞋的棒槌，差点儿把他绊了一大跤。稳住了时翠翠苦笑着说：「爷爷，你瞧，还不服气！」	Seeming not really willing to give in, the old ferryman shrugged and stepped away.  As he crossed over the high door threshold, he nearly tripped headlong over the stick he used to make straw sandals. When he'd steadied himself, Cuicui put on a pained smile and said: "Grandfather, you see, you still don't know how to take advice!"
老船夫拾起那棒槌，向屋角隅摔去，说道：「爷爷老了！过几天打豹子给你看！」	The old man picked up the stick and threw it into a corner of the room, adding: "Your grandfather may be old, but just wait a few days, and I'll hunt you a leopard!"
到了午后，落了一阵行雨，老船夫却同翠翠好好商量，仍然进了城。	In the afternoon it rained, but the old ferryman said good-bye to Cuicui and went to town anyway.
翠翠不能陪祖父进城，就要黄狗跟去。	Since Cuicui couldn't go with him, she insisted that the yellow dog accompany him.
老船夫在城里被一个熟人拉着谈了许久的盐价米价，又过守备衙门看了一会新买的骡马，才到河街顺顺家里去。	Once in town, he was detained by a friend who wanted to talk about the price of salt and rice.  Then he went to the army barracks to see the new mules and horses purchased by the head of the likin tax bureau before he finally got to Shunshun's house on River Street.
到了那里，见到顺顺正同三个人打纸牌，不便谈话，就站在身后看了一阵牌，后来顺顺请他喝酒，借口病刚好点不敢喝酒，推辞了。	There he found Shunshun playing cards with three other men.  Unable to speak to him in private, he just stood behind Shunshun and looked at his hand.  After a while Shunshun invited him for a drink, but the ferryman begged off, on the excuse that he had been sick.
牌既不散场，老船夫又不想即走，顺顺似乎并不明白他等着有何话说，却只注意手中的牌。	The card players weren't ready to go home and the old ferryman wasn't about to leave, either.  Shunshun seemed unable to figure out why he had come; he just concentrated on his hand.
后来老船夫的神气倒为另外一个人看出了，就问他是不是有什么事情。	It was another man who took note of the old ferryman's discomfort and asked if he had something to discuss.
老船夫方忸忸怩怩照老方子搓着他那两只大手，说别的事没有，只想同船总说两句话。	That made the old ferryman rub his two hands together nervously, as was his habit, and say, not really, he just wanted to exchange a word or two with the fleetmaster.
那船总方明白在看牌半天的理由，回头对老船夫笑将起来。	The fleetmaster finally understood why the ferryman had been standing behind him, looking at his cards for so long. He turned around and smiled at the old ferryman.
「怎不早说？你不说，我还以为你在看我牌学张子！」	"Why didn't you say so? You didn't say anything, so I thought you must be trying to learn a few tricks of the game."
「没有什么，只是三五句话，我不便扫兴，不敢说出。」船总把牌向桌上一撒，笑着向后房走去了，老船夫跟在身后。	"It's nothing, just a little something I wanted to talk about. I didn't want to spoil the fun  didn't dare interrupt you." The fleetmaster threw his cards down on the table. Smiling, he went into the back room, with the old ferryman following behind.
「什么事？」船总问着，神气似乎先就明白了他来此要说的话，显得略微有点儿怜悯的样子。	"What's on your mind?" the fleetmaster asked, with an expression hinting that he knew what the boatman was about to say, and also bearing a touch of pity.
「我听一个中寨人说，你预备同中寨团总打亲家，是不是真事？」	"I heard a man from Middle Stockade say you were preparing to link your family in marriage with the militia captain there. Is it true?"
船总见老船夫的眼睛盯着他的脸，想得一个满意的回答，就说：「有这事情。」	The fleetmaster could see the old ferryman's eyes fixed on him, begging for the answer he wanted. "You've heard right," said the fleetmaster.
那么答应，意思却是：「有了你怎么样？」	But the implication was, "What's it to you?"
老船夫说：「真的吗？」	"That's a fact?" the old ferryman asked.
那一个又很自然的说：「真的。」意思却依旧包含了「真的又怎么样？」	"True enough," the other said, unconcernedly. But the implication, again, was another question: "Fact is, what business is it of yours?"
老船夫装得很从容的问：「二老呢？」	Pretending to be completely unruffled, the old ferryman asked, "What does No. 2 say?"
船总说：「二老坐船下桃源好些日子了！」	The fleetmaster replied: "No. 2 has taken a boat down to Taoyuan and been gone for several days now!"
二老下桃源的事，原来还同他爸爸吵了一阵才走的。	As it happened, No. 2 had gone downriver to Taoyuan only after quarreling with his father.
